#{"t_start": 1669893107.1728349, "env_id": "HopperBulletEnv-v0"}
r,l,t
23.323596,9,0.907545
22.030293,18,0.916285
25.551316,14,0.923296
17.35249,22,0.933657
18.145047,19,0.943703
21.685941,15,0.950899
20.390967,8,0.955037
28.348347,16,0.962771
20.737863,13,0.969492
21.120436,11,0.974982
18.498256,9,0.979312
30.805557,23,0.990458
21.486964,11,0.99645
21.888602,12,1.002565
18.231834,14,1.009511
17.611827,11,1.014942
16.998375,6,1.01834
18.677023,7,1.021899
18.186683,9,1.026284
20.767556,7,1.029852
16.171148,7,1.03393
22.220798,8,1.038222
23.522095,14,1.045079
19.759404,10,1.049882
33.523501,24,1.062298
19.366483,9,1.066663
19.968651,11,1.072359
16.294095,8,1.076344
26.573902,16,1.084677
21.054661,16,1.09239
19.681305,11,1.097535
24.29113,16,1.105477
19.941003,10,1.110758
19.857744,10,1.11558
21.410898,19,1.125007
18.665335,8,1.128994
18.894136,7,1.13298
17.691731,13,1.139256
22.629118,11,1.14481
18.099088,7,1.148334
20.975755,8,1.152914
26.834887,36,1.170004
17.969797,8,1.173949
15.745042,10,1.178627
20.310306,10,1.184148
19.049937,6,1.187049
16.343484,13,1.193345
18.562275,7,1.196873
17.757817,12,1.20317
21.884106,12,1.20914
19.182031,8,1.213143
19.849572,12,1.218886
28.266654,25,1.231164
24.536331,15,1.238647
24.562328,15,1.245759
18.142705,7,1.249352
20.403049,9,1.254386
19.82183,14,1.261238
18.209042,6,1.264379
21.45941,10,1.269371
22.878536,13,1.276352
19.56107,8,1.280289
20.076104,9,1.28466
17.412681,8,1.288798
20.543994,9,1.293752
21.485758,16,1.30145
20.933158,15,1.309014
18.816556,7,1.31254
17.571268,11,1.318262
19.720644,10,1.323135
34.70024,28,1.336666
22.621271,9,1.341092
18.21118,7,1.345093
22.93209,23,1.355917
18.719758,10,1.36079
17.774722,14,1.367543
21.450486,13,1.374152
18.868059,6,1.377294
16.17588,5,1.379956
19.377197,8,1.383981
21.577234,13,1.390618
12.658736,8,1.394531
22.2876,13,1.400939
19.383934,16,1.408554
18.06695,12,1.414592
24.257669,12,1.420507
22.73211,10,1.425241
19.476349,7,1.428778
26.563017,23,1.439738
20.428246,10,1.444505
19.855472,11,1.449658
18.254564,8,1.453431
21.137305,13,1.460199
23.478587,17,1.468312
20.974078,15,1.475258
20.93147,14,1.481925
20.758279,10,1.487157
19.582194,15,1.49427
16.920007,7,1.497692
24.01715,20,1.506741
20.282912,14,1.514055
18.793263,7,1.517493
19.039693,11,1.522502
28.887115,19,1.531497
20.782128,9,1.536483
18.397085,15,1.544159
20.707725,20,1.55332
17.362687,10,1.55805
19.298761,12,1.564521
17.392148,9,1.568923
27.511373,17,1.576677
19.57717,11,1.582179
16.792454,10,1.587328
17.222973,7,1.590758
17.709468,6,1.593538
16.492766,6,1.59657
16.387481,6,1.600012
17.792939,7,1.603457
24.749574,14,1.610151
20.421407,10,1.614801
20.514157,12,1.620786
23.039065,13,1.626962
17.658348,7,1.630397
16.774135,6,1.633398
21.230567,11,1.639025
22.504106,12,1.644492
16.935312,6,1.647471
17.345545,9,1.65167
20.774943,7,1.655598
15.977312,10,1.660302
22.973484,20,1.669697
20.825605,11,1.674731
19.697067,10,1.680256
20.281929,9,1.684561
15.679119,8,1.688354
16.962237,5,1.690675
21.602568,9,1.69545
17.380905,8,1.699261
23.741308,18,1.707879
19.013148,10,1.712609
16.409402,8,1.716973
22.877981,14,1.723664
21.588457,13,1.729621
23.244761,14,1.736423
22.164029,15,1.743815
19.565721,13,1.750078
19.887785,11,1.755152
17.279406,14,1.761798
17.233061,6,1.765098
22.166217,15,1.772262
22.165027,12,1.77796
23.065635,12,1.783537
19.013464,14,1.790568
23.366781,14,1.797121
17.077378,14,1.803692
19.521227,9,1.80794
18.056101,9,1.812765
18.660262,11,1.81787
17.351682,13,1.823974
19.208392,7,1.827397
20.03867,13,1.833797
18.742623,10,1.838784
19.320643,11,1.843834
17.543891,8,1.847693
19.946248,10,1.853094
24.38132,14,1.859797
16.501718,7,1.863234
18.106099,6,1.866278
20.919038,12,1.872669
22.847549,13,1.87899
24.141932,14,1.88548
19.259825,10,1.890395
16.84204,10,1.89561
18.152096,8,1.899441
20.179248,10,1.90403
22.896227,31,1.91827
18.608235,8,1.922621
19.388449,6,1.925681
18.66552,11,1.93073
21.135981,11,1.936046
13.615242,8,1.940495
17.143059,7,1.943656
21.097902,10,1.948817
19.279786,8,1.952721
26.244768,16,1.960721
16.449682,12,1.96632
22.789393,20,1.975748
20.237603,15,1.982653
17.976781,9,1.987429
18.825002,12,1.992962
18.759661,7,1.996401
23.569589,12,2.002253
20.2855,7,2.006051
23.000181,18,2.014492
27.823741,16,2.021909
20.749656,10,2.026599
18.607618,8,2.031081
20.349827,15,2.038115
36.252814,29,2.051192
25.963574,19,2.060016
28.972063,27,2.072783
18.338072,16,2.080235
18.882461,7,2.083653
20.106673,8,2.08813
19.103671,18,2.097118
18.076309,12,2.102768
18.877814,8,2.106678
14.817606,7,2.110033
19.720204,10,2.115241
24.305412,14,2.121886
20.098056,9,2.126189
17.939216,6,2.129238
21.049869,10,2.134413
19.434391,7,2.137861
20.528272,7,2.141324
9.524904,19,2.149938
18.741659,9,2.154792
20.466171,14,2.16144
22.852126,10,2.166147
18.620175,15,2.173177
22.121704,16,2.181241
20.766752,15,2.188287
22.727471,14,2.194789
24.31978,14,2.201114
18.237561,11,2.206965
21.055738,7,2.210451
15.856616,7,2.2136
17.537249,14,2.220127
31.571159,23,2.231376
20.599749,9,2.235656
20.99734,12,2.241552
28.969997,27,2.254076
20.118109,11,2.259623
17.27056,7,2.263074
16.864228,9,2.26735
23.984801,21,2.277071
20.653944,9,2.281902
21.256083,10,2.286484
17.540489,8,2.290331
21.59377,13,2.296541
18.014749,9,2.301337
17.174487,15,2.308834
22.209171,11,2.314376
15.323516,7,2.318099
19.62913,15,2.32571
23.189498,13,2.331796
20.430226,9,2.33628
17.554662,8,2.340242
22.054009,10,2.345541
20.311121,9,2.349863
17.616114,14,2.356554
18.27026,11,2.361616
21.435031,13,2.368332
19.352323,7,2.371753
18.67725,10,2.37646
18.526969,10,2.381176
21.96465,17,2.389878
18.946329,20,2.399022
22.809784,15,2.40598
21.686446,24,2.417039
13.621055,9,2.421738
17.154702,8,2.425586
17.839914,10,2.430264
26.292522,21,2.439988
14.932522,9,2.444768
20.676208,13,2.450941
18.635648,12,2.45646
17.942282,14,2.463026
19.489688,16,2.470924
25.345934,15,2.477865
24.385879,17,2.485733
16.876579,6,2.488728
20.955615,9,2.493568
22.694931,16,2.501085
30.749859,28,2.513676
21.743253,13,2.519835
15.573288,17,2.528353
18.63434,8,2.532682
20.486586,13,2.539461
19.996558,11,2.545024
21.39709,7,2.549362
17.575156,7,2.55296
24.55419,19,2.56194
18.04919,8,2.565809
21.257094,9,2.570707
17.358587,9,2.574963
20.675533,18,2.583548
18.011834,17,2.591425
20.589442,9,2.59632
18.607419,8,2.600198
18.988639,13,2.606275
17.569129,10,2.610983
18.431415,8,2.615429
20.305899,11,2.620537
17.044609,8,2.624367
20.239755,9,2.628636
21.419303,12,2.6349
21.331768,13,2.640976
20.125618,13,2.647373
18.147803,9,2.651789
22.191776,11,2.657694
17.848671,9,2.662141
23.640332,14,2.668779
18.392321,8,2.67275
20.362471,11,2.678675
20.488048,14,2.685429
14.250098,9,2.689824
20.193764,8,2.693825
18.172927,10,2.699108
21.181172,13,2.705627
19.537402,8,2.709617
14.376926,10,2.714404
19.39018,7,2.718503
21.875653,12,2.724184
16.607097,27,2.737034
22.604282,10,2.741728
17.821547,7,2.745754
16.880238,9,2.75
19.207766,7,2.753424
18.187408,12,2.758899
23.538776,12,2.765286
20.208796,10,2.770027
20.540997,16,2.777406
19.933298,11,2.782538
26.891881,23,2.793831
16.351694,10,2.798632
16.179273,14,2.805277
19.512926,9,2.809513
21.244218,17,2.817924
22.695333,10,2.822789
20.887965,10,2.827405
20.419858,10,2.832016
16.900479,7,2.835956
22.675229,12,2.841696
20.779545,7,2.844807
26.395311,15,2.851935
17.304732,9,2.856728
20.49717,17,2.864771
18.472007,15,2.87165
14.200783,10,2.876569
23.620658,20,2.886332
17.634409,7,2.889755
19.972753,9,2.89397
16.044293,12,2.899582
19.207728,6,2.90288
17.880564,13,2.908986
17.732989,6,2.912012
23.363948,12,2.917527
20.910628,11,2.923466
25.612899,18,2.931787
16.495018,5,2.934414
17.431351,13,2.940241
23.93539,20,2.950055
19.326076,8,2.953917
18.359779,8,2.95773
20.832202,9,2.961932
19.833262,11,2.967622
18.322971,6,2.970697
28.145974,15,2.977772
20.286652,20,2.986911
21.528092,13,2.993735
15.480204,12,2.999209
18.650256,12,3.004966
17.590987,19,3.013807
15.682707,7,3.017786
16.209807,5,3.020417
16.876865,7,3.023859
18.889015,7,3.027323
20.051165,13,3.03377
13.711915,7,3.037436
26.289642,15,3.044778
17.426035,8,3.048642
18.207761,6,3.052474
20.174124,9,3.056678
20.229892,15,3.063606
20.272811,7,3.067167
19.932702,10,3.072356
22.037752,24,3.083349
21.160464,9,3.087636
19.462446,9,3.091817
17.572417,16,3.099676
20.749051,10,3.104389
19.437155,12,3.110176
19.415532,7,3.113631
15.367842,7,3.117585
15.64498,20,3.12673
17.692982,6,3.129786
21.147912,12,3.135369
20.82726,9,3.140261
16.190599,11,3.145584
19.177717,9,3.149928
18.34436,12,3.155487
22.74209,16,3.163512
17.735111,13,3.169945
20.459024,12,3.175722
21.416354,10,3.180727
20.388836,20,3.190287
17.207136,6,3.193365
21.074548,19,3.202242
20.402608,10,3.20722
18.90287,10,3.212331
20.26574,20,3.22144
17.62078,12,3.227134
20.445868,9,3.231292
22.502615,15,3.238751
18.048287,13,3.244972
18.977711,8,3.248751
19.13367,6,3.251533
16.086698,12,3.257757
18.325431,6,3.260737
19.789323,7,3.263885
24.757693,19,3.272999
16.71234,10,3.278137
21.521062,8,3.282042
20.807283,11,3.287161
22.221531,9,3.291728
21.136311,9,3.29665
21.486789,11,3.301599
20.610955,13,3.307746
17.481267,18,3.315972
23.968371,10,3.321179
19.845442,20,3.330419
18.029677,14,3.336669
23.736828,11,3.341989
28.08941,22,3.352775
17.453439,17,3.36047
18.15714,15,3.367357
16.89585,12,3.373024
22.745884,17,3.381521
21.448428,9,3.385759
20.724306,13,3.391899
18.36952,15,3.398829
21.269761,15,3.406371
22.52168,9,3.410644
20.835042,11,3.415778
21.747139,10,3.420428
19.236927,7,3.424417
18.140518,12,3.430309
19.290821,13,3.436211
17.635534,6,3.439125
22.208544,20,3.448802
20.657932,10,3.453454
18.419884,12,3.458787
20.023512,18,3.467206
19.204884,15,3.474748
20.677594,9,3.479033
31.999435,24,3.490274
15.068351,7,3.49363
19.052392,10,3.498857
19.207808,19,3.507452
19.640281,13,3.513516
19.992098,10,3.518113
26.150033,17,3.526392
20.062222,12,3.532183
19.473222,8,3.535963
15.516396,17,3.543848
18.802346,11,3.549501
16.675035,7,3.553039
23.051825,19,3.561611
23.407471,21,3.571444
17.632903,13,3.578056
17.728244,13,3.583925
21.686617,8,3.587734
16.348626,7,3.591195
21.860285,8,3.595581
24.838089,20,3.604994
16.338054,5,3.607269
17.354101,6,3.610278
18.422468,15,3.617907
30.829397,34,3.633287
21.182007,10,3.637882
19.904285,10,3.642709
18.597228,6,3.645977
19.33204,7,3.649394
19.326448,14,3.656021
23.645237,26,3.667817
25.575146,17,3.676135
23.998275,17,3.684252
20.817007,14,3.690488
18.17392,8,3.694264
18.859813,9,3.698943
16.28462,9,3.703426
20.035048,9,3.70773
20.602863,12,3.713236
18.83984,6,3.71683
18.902117,6,3.71979
16.412192,10,3.724431
20.040953,14,3.730961
25.491828,12,3.737011
20.000115,23,3.747468
18.761395,6,3.750562
19.776272,7,3.754061
19.543484,18,3.762834
18.597601,8,3.766667
20.425718,8,3.770623
19.90704,14,3.777125
24.663417,16,3.785179
15.551992,9,3.789457
25.804501,13,3.795424
20.935757,15,3.802407
21.999482,13,3.809042
22.045352,10,3.813771
17.571865,7,3.817208
25.235399,17,3.824912
20.607398,12,3.831184
18.459398,9,3.835424
25.200974,17,3.843193
21.818769,8,3.847026
15.274228,13,3.853581
21.162913,8,3.857457
19.397218,10,3.862149
20.677522,7,3.865593
22.77828,14,3.872553
14.674905,7,3.87594
23.091076,10,3.88102
17.605605,7,3.884106
22.841228,10,3.889506
17.037553,7,3.89296
21.469475,15,3.899667
20.768932,11,3.904967
16.333569,6,3.908483
20.584488,13,3.914438
18.825346,11,3.919789
19.946475,9,3.924022
17.56955,8,3.928324
27.023598,20,3.937303
14.352818,7,3.940711
17.903883,9,3.944932
19.927873,11,3.950854
20.671809,8,3.954706
22.687775,12,3.960272
17.407959,6,3.963261
21.187114,11,3.968818
16.281367,5,3.971494
20.435075,8,3.975336
16.908619,7,3.978812
19.385765,11,3.984386
20.384759,10,3.989112
20.382425,13,3.995236
18.403607,8,3.999055
17.949242,11,4.004694
16.744493,9,4.008855
20.070933,13,4.015054
18.644166,8,4.018889
22.140726,15,4.026428
20.237296,10,4.031168
24.005972,12,4.037072
20.846759,15,4.044167
17.112894,11,4.049698
18.939795,16,4.057105
14.742178,7,4.060536
19.644622,12,4.066016
23.08008,17,4.074568
29.681167,20,4.083974
18.384183,6,4.08699
19.948095,9,4.09125
18.017631,8,4.095511
18.692639,12,4.10105
17.668296,10,4.105947
20.201937,8,4.109714
23.821387,17,4.118174
19.307454,12,4.123655
26.086287,19,4.132459
24.446411,15,4.139204
17.010594,9,4.144214
18.340318,7,4.147318
28.993121,19,4.156246
21.284706,14,4.162735
14.69372,8,4.167052
19.289983,9,4.171464
20.350412,16,4.178866
20.725931,21,4.188493
24.094101,16,4.196366
15.789277,11,4.201709
19.6296,9,4.205989
21.367654,12,4.211427
16.982452,9,4.216231
17.737653,7,4.219612
21.327248,18,4.228274
19.55759,8,4.231985
18.657275,6,4.235208
25.159489,25,4.246798
19.822974,7,4.250201
16.760967,7,4.253586
12.442437,11,4.259317
24.3108,18,4.267642
19.595314,7,4.27119
15.551568,10,4.275806
26.679579,18,4.284793
16.016615,6,4.287772
22.488751,13,4.294089
14.052925,13,4.299929
20.376493,9,4.304745
18.227989,13,4.310836
12.185848,17,4.318545
20.610478,11,4.32364
20.778704,14,4.330677
18.140867,16,4.338169
17.510159,8,4.342036
20.157617,9,4.346286
15.151224,10,4.351764
15.810502,12,4.357287
20.213105,12,4.363012
17.190736,14,4.369422
20.781029,14,4.376646
18.459731,7,4.379979
25.33559,17,4.387759
26.67245,19,4.396563
19.598377,8,4.400815
16.323193,5,4.403335
20.483994,14,4.410026
19.879233,10,4.414643
21.892235,13,4.421319
15.103421,5,4.423586
19.497507,16,4.430994
14.500058,7,4.434392
19.321118,8,4.438727
18.855926,14,4.44522
18.546002,6,4.448206
21.851464,9,4.452535
21.85028,15,4.460128
18.858043,10,4.464773
19.93464,17,4.472711
17.985573,7,4.476079
22.899301,13,4.482708
18.382372,16,4.490005
21.335275,15,4.496802
23.323982,15,4.50377
21.36489,15,4.511201
21.033434,10,4.515873
18.863143,8,4.519664
19.99507,13,4.52573
19.636897,10,4.53087
26.794805,23,4.541753
19.925867,15,4.548596
23.245264,13,4.554909
14.656938,8,4.559198
26.836886,23,4.569966
20.98017,15,4.576735
20.832031,11,4.582055
15.842264,10,4.587224
16.094364,11,4.592186
19.84754,8,4.595907
17.049233,12,4.601648
