#{"t_start": 1668248912.8176599, "env_id": "AntBulletEnv-v0"}
r,l,t
4.704769,21,0.863971
502.289017,1000,1.60322
483.356979,1000,2.311351
49.760833,122,2.398214
480.155272,1000,3.11892
19.342543,48,3.152202
514.357656,1000,3.859207
60.026328,132,3.951591
90.735085,200,4.097601
475.479582,1000,4.798442
481.413284,1000,5.498314
525.082744,1000,6.193303
4.658861,20,6.207038
515.52396,1000,6.922294
508.750757,1000,7.622508
4.2787,21,7.636071
480.744648,1000,9.415421
5.492031,20,9.436779
5.629506,20,9.457933
5.42382,20,9.479031
413.646784,1000,11.510467
76.346137,338,12.163337
113.091949,235,12.646
3.997404,20,12.667322
86.421015,279,13.278416
5.596574,20,13.299511
6.029655,20,13.320578
399.529763,1000,15.340032
9.714775,95,15.522921
378.041532,1000,17.603651
1.471129,20,17.625776
0.373388,20,17.706394
3.877102,20,17.729353
3.6789,20,17.751401
423.229374,1000,19.847381
210.509283,581,21.042631
4.680669,22,21.067734
104.305894,346,21.830437
375.291139,1000,23.849029
414.486814,1000,25.9229
81.406581,165,26.307327
2.892487,20,26.328492
2.000237,20,26.349684
1.401403,20,26.427736
64.125485,386,27.204652
118.244424,374,27.892776
25.32558,70,28.078896
-2.083922,56,28.140418
453.3181,1000,30.130578
99.082265,292,30.751541
3.436058,20,30.773504
3.660695,20,30.795369
3.309973,20,30.88097
384.765967,1000,32.907359
108.134547,350,33.657733
23.345261,51,33.71541
1.864745,20,33.80195
3.012254,20,33.825807
2.785786,20,33.848326
115.811533,211,34.330098
2.636934,20,34.352895
3.640759,20,34.374839
2.041034,20,34.462641
424.309484,1000,36.489054
36.104432,90,36.722988
461.800157,1000,38.739803
82.853511,235,39.839698
3.142953,20,39.861778
1.734774,20,39.947588
281.4441,1000,42.010352
327.70535,1000,44.082511
478.171043,1000,46.094733
139.187338,283,46.729817
382.291426,1000,48.737761
111.525499,314,49.386305
20.075202,39,49.488391
414.912674,1000,51.589419
223.586788,540,52.674121
0.808579,20,52.696641
2.432697,20,52.778094
7.497678,20,52.800686
7.375716,20,52.822375
5.858146,20,52.909449
2.953556,20,52.932123
2.801906,20,52.955831
2.882543,20,53.043289
48.08715,101,53.223782
2.669597,20,53.246485
4.399795,20,53.330944
5.082172,20,53.353444
5.258366,20,53.376261
6.75289,33,53.476739
39.079296,107,53.734527
7.063023,20,53.756628
7.015356,20,53.778433
7.022681,20,53.85887
38.244668,146,54.160382
84.19874,254,54.686415
234.82559,513,55.736938
59.59237,201,56.142103
7.738485,20,56.164778
7.205697,20,56.25567
92.153413,211,56.70872
6.290596,20,56.730955
6.228163,20,56.754247
514.90699,1000,58.87241
2.250475,20,58.895263
4.377552,22,58.979622
2.532559,26,59.010199
1.694175,26,59.106456
27.704523,107,59.296981
5.266284,20,59.379418
489.407891,1000,61.44392
455.30662,1000,63.532018
288.713709,755,65.105615
176.150454,323,65.764798
277.749072,692,67.15909
61.616189,72,67.357605
2.715172,20,67.379553
3.208055,20,67.401368
2.430249,20,67.485974
347.426783,1000,69.51478
6.574779,35,69.61267
457.650033,1000,71.633268
496.044316,1000,73.732617
447.866078,1000,75.811702
530.268788,1000,77.832247
5.464193,24,77.917633
1.670852,20,77.940642
1.99011,20,77.96258
1.399059,20,77.987419
509.183916,1000,80.073665
484.737622,1000,82.1574
472.725069,1000,84.163742
531.298336,1000,86.224894
544.856153,1000,88.28884
532.364298,1000,90.318542
578.864328,1000,97.874916
610.983591,1000,99.879164
60.253849,137,100.211667
283.599863,1000,102.24415
497.390086,1000,104.310851
468.838987,1000,106.375552
225.223893,559,107.470563
473.591796,1000,109.554252
118.92336,147,109.836477
123.415199,173,110.20707
527.695087,1000,112.211648
622.483353,1000,114.244852
576.118177,1000,116.24732
24.665149,169,116.550308
619.739283,1000,118.614427
566.332146,1000,120.725214
499.529042,1000,122.742066
604.908261,1000,124.748221
510.708702,1000,126.759706
596.073822,1000,128.727369
688.941956,1000,130.72745
456.672282,1000,132.676726
377.946325,1000,134.6799
723.266901,1000,136.696793
554.821682,1000,138.645751
195.895314,312,139.269812
424.11113,1000,141.284351
158.049129,192,141.683551
621.611812,1000,143.634643
564.737592,1000,145.647353
597.124473,1000,151.232093
650.260307,1000,153.199542
571.814238,1000,155.220697
446.398714,1000,157.242999
514.047534,1000,159.206644
538.468941,1000,161.247132
583.319411,1000,163.196432
572.960207,1000,165.206146
553.300971,1000,167.208612
657.064448,1000,169.178172
623.0527,1000,171.175678
499.468813,1000,173.201861
594.63484,1000,175.185474
572.814093,1000,177.28685
469.760488,1000,179.328812
539.573525,1000,181.430659
526.70392,1000,183.532564
480.785692,1000,185.566163
578.851173,1000,187.635992
765.103611,1000,189.700205
497.510499,1000,191.711177
560.4,1000,193.805926
677.224208,1000,195.805952
624.843848,1000,197.870489
746.621622,1000,199.92584
518.171518,1000,207.40563
583.549328,1000,209.408548
678.477534,1000,211.4165
685.583202,1000,213.397514
654.278963,1000,215.486724
759.536446,1000,217.487626
714.31305,1000,219.552709
698.240113,1000,221.611788
856.497982,1000,223.607425
712.853678,1000,225.646012
716.045285,1000,227.695828
652.167572,1000,229.684444
673.751501,1000,231.767383
690.707656,1000,233.775767
735.272846,1000,235.814572
782.377461,1000,237.866591
767.007834,1000,239.911208
829.548508,1000,241.993274
696.754164,1000,244.068814
742.750335,1000,246.043855
742.089767,1000,248.10766
707.723727,1000,250.094832
793.075316,1000,252.135095
721.205179,1000,254.17376
621.765912,1000,256.175398
611.064688,1000,263.611056
657.70334,1000,265.661362
597.102744,1000,267.642035
535.200439,1000,269.710478
774.636294,1000,271.695597
671.133349,1000,273.739615
739.172803,1000,275.783592
496.044887,1000,277.794266
525.967528,1000,279.852294
674.957663,1000,281.891897
590.283107,1000,283.870016
896.908613,1000,285.900433
746.257574,1000,287.879533
723.771052,1000,289.947486
729.559171,1000,292.018105
664.416654,1000,294.052569
682.738048,1000,296.117512
854.684814,1000,298.206828
896.169926,1000,300.241431
837.907434,1000,302.381765
671.307632,1000,304.398019
719.056137,1000,306.461472
705.840695,1000,308.537618
916.58344,1000,310.562711
816.241643,1000,312.633585
859.912287,1000,320.157123
761.606383,1000,322.15858
553.548867,1000,324.253292
810.651831,1000,326.247373
598.59089,1000,328.308712
766.237045,1000,330.359207
667.884475,1000,332.382478
767.415389,1000,334.438763
677.68513,1000,336.510077
877.307774,1000,338.511477
580.560257,1000,340.604907
736.233955,1000,342.613601
945.326607,1000,344.667815
809.14567,1000,346.729707
895.611101,1000,348.751847
798.133576,1000,350.811506
748.927769,1000,352.879234
957.308398,1000,354.879188
731.553301,1000,356.972392
983.525309,1000,359.00451
650.935747,1000,361.121661
906.10617,1000,363.232037
810.774901,1000,365.278172
789.970773,1000,367.354518
802.266403,1000,369.422158
692.01414,1000,376.908006
836.202697,1000,378.979324
791.591311,1000,380.983859
785.002149,1000,383.052287
759.194105,1000,385.119665
939.201592,1000,387.157101
773.870759,1000,389.224813
850.963262,1000,391.290371
855.607983,1000,393.289567
1042.83072,1000,395.358887
669.65136,1000,397.354366
821.276865,1000,399.419055
705.968037,1000,401.480629
825.287667,1000,403.494546
891.963599,1000,405.563426
673.92212,1000,407.646831
1026.940102,1000,409.651886
650.783943,1000,411.755955
1084.583772,1000,413.770411
637.66076,1000,415.850928
767.759764,1000,417.927238
523.090981,1000,420.003141
774.132427,1000,422.119388
758.069659,1000,424.223186
1095.170526,1000,426.227954
946.479966,1000,433.737892
868.339047,1000,435.738199
953.003916,1000,437.791434
987.459069,1000,439.848173
1102.119784,1000,441.872104
1148.508647,1000,443.935214
1053.514044,1000,445.998252
1141.798934,1000,447.999547
828.573556,1000,450.071432
1012.440023,1000,452.06517
1076.443581,1000,454.117931
1017.186277,1000,456.167516
826.122681,1000,458.183695
1182.562314,1000,460.238258
1160.975091,1000,462.29077
808.067398,1000,464.292536
1019.173663,1000,466.357852
690.883028,1000,468.349983
1014.239638,1000,470.409076
1148.447449,1000,472.458676
962.358104,1000,474.422964
1092.857937,1000,476.414585
1162.017779,1000,478.441653
802.529551,1000,480.438559
940.777881,1000,482.476821
1170.511033,1000,489.605708
784.581883,1000,491.589048
732.872284,1000,493.578394
924.760326,1000,495.516258
768.847104,1000,497.508566
896.651124,1000,499.504323
708.162185,1000,501.433983
751.511685,1000,503.452926
775.155712,1000,505.392628
895.032728,1000,507.383857
653.926026,1000,509.377592
672.294676,1000,511.337209
688.05505,1000,513.33559
745.582526,1000,515.341465
693.064075,1000,517.285169
1044.36879,1000,519.309642
790.40595,1000,521.26422
601.819839,1000,523.283004
1191.885422,1000,525.276004
757.806697,1000,527.248736
807.311739,1000,529.256631
819.476549,1000,531.266525
864.430589,1000,533.229243
759.201827,1000,535.256887
771.688241,1000,537.23545
1217.47349,1000,544.664107
711.598222,1000,546.680147
821.207169,1000,548.646811
1277.512648,1000,550.641521
862.772357,1000,552.638937
855.787977,1000,554.582809
642.336374,1000,556.620409
1000.51421,1000,558.565067
719.141949,1000,560.576559
900.958368,1000,562.56852
1145.368813,1000,564.517874
843.514738,1000,566.518002
1179.990185,1000,568.507466
781.52814,1000,570.456973
769.717089,1000,572.475277
877.561833,1000,574.408198
1104.698718,1000,576.391696
674.81114,1000,578.391295
1076.827414,1000,580.337573
1063.97609,1000,582.330575
860.785165,1000,584.331357
989.794668,1000,586.267643
683.45214,1000,588.297368
940.214881,1000,590.232637
1067.586162,1000,592.233371
866.186465,1000,599.59305
900.637094,1000,601.678778
846.287653,1000,603.808578
935.127257,1000,605.863596
1073.568,1000,607.852307
1059.797494,1000,609.919269
1244.217166,1000,611.899941
867.022392,1000,613.96074
1085.155377,1000,616.009391
894.281134,1000,618.020407
847.9125,1000,620.049309
926.406964,1000,622.063951
1179.014562,1000,624.011002
1022.771283,1000,626.022643
1047.205993,1000,627.963768
1000.820386,1000,629.961894
1196.536935,1000,631.951375
996.352517,1000,633.928803
1193.28766,1000,635.927161
1134.298561,1000,637.921456
915.335151,1000,639.866874
1381.326769,1000,641.874816
1196.296627,1000,643.793803
1008.484423,1000,645.77743
1253.338522,1000,647.757771
1104.166097,1000,654.915127
1128.183773,1000,656.923466
1232.452312,1000,658.962344
1099.061499,1000,660.943651
1091.421911,1000,662.990956
1005.337746,1000,664.919387
1022.692908,1000,666.904617
1013.731498,1000,668.888572
1247.986481,1000,670.84839
1294.629399,1000,672.837412
761.089252,1000,674.841515
1230.298136,1000,676.771729
1135.752522,1000,678.770021
1413.000136,1000,680.684102
1063.306096,1000,682.665066
1526.693561,1000,684.634187
1157.308712,1000,686.609111
1115.773901,1000,688.641758
1556.103429,1000,690.667328
1057.832125,1000,692.647485
1360.143906,1000,694.692197
1181.658109,1000,696.641135
1492.924043,1000,698.641552
1485.052978,1000,700.637769
1627.984388,1000,702.600598
983.85849,1000,709.940454
1611.168639,1000,711.99265
1597.921558,1000,713.999045
