#{"t_start": 1669670890.736207, "env_id": "HopperBulletEnv-v0"}
r,l,t
18.880108,7,0.809754
17.367602,23,0.821898
20.010221,9,0.826694
22.302627,10,0.832312
17.957539,8,0.837265
22.485465,16,0.845907
16.617007,10,0.85115
16.411807,6,0.85462
16.07729,11,0.860864
22.653937,20,0.871399
15.686798,13,0.878509
16.967745,16,0.886862
19.577279,7,0.891089
16.808721,10,0.896669
18.193677,9,0.901523
18.965499,6,0.905036
24.295349,16,0.913884
22.49874,13,0.920754
19.32573,11,0.926646
19.337946,11,0.932259
19.2769,12,0.939071
23.614323,10,0.944616
19.517426,11,0.950651
22.278899,14,0.957852
19.745671,14,0.965939
19.813483,8,0.970344
19.124637,11,0.976131
26.93901,16,0.984719
21.405037,12,0.991691
14.586121,8,0.995997
19.983769,10,1.001461
18.699803,9,1.006309
17.577472,8,1.011201
17.466835,11,1.017171
18.628908,8,1.021588
23.54373,15,1.029534
19.314953,14,1.037315
17.839679,8,1.041725
18.43319,6,1.045206
20.625119,13,1.051934
17.348381,14,1.059611
20.213496,12,1.066058
16.061936,6,1.06953
21.28154,8,1.073898
15.968428,7,1.078376
18.987789,19,1.088225
19.639083,7,1.092259
18.952137,11,1.098358
16.550079,12,1.105317
22.616531,14,1.112651
20.679275,11,1.118722
16.366996,8,1.123007
21.819312,20,1.134106
21.302809,12,1.140467
19.199888,8,1.144771
26.416426,17,1.15374
20.012557,14,1.161718
23.721166,14,1.168973
21.800621,15,1.1769
18.926647,14,1.184506
16.90913,8,1.189343
23.256916,15,1.197113
19.517666,8,1.201385
18.565779,7,1.205272
19.925857,8,1.210085
19.530644,13,1.216859
22.38243,9,1.221959
20.269408,17,1.230912
20.020605,11,1.2377
25.431756,17,1.246864
28.670935,22,1.258374
24.282779,15,1.266307
22.057167,11,1.272799
18.376941,8,1.277363
18.640644,7,1.281314
20.225529,9,1.286177
20.565716,9,1.291564
13.050468,10,1.297063
19.7898,16,1.305585
16.622072,6,1.308779
17.151826,17,1.318144
18.900829,8,1.322484
28.782098,22,1.334203
20.222485,20,1.344563
17.247448,9,1.349813
15.551773,11,1.355779
27.683268,19,1.365704
18.895833,13,1.372356
18.374608,8,1.377138
20.561548,10,1.382342
22.018706,14,1.389849
13.187481,12,1.396179
16.328987,10,1.40193
18.367857,7,1.405854
21.064773,7,1.409771
18.459532,8,1.414102
19.659498,14,1.421972
14.698313,6,1.425403
20.833334,12,1.431853
25.585806,17,1.44074
17.866804,12,1.447651
20.392187,11,1.453589
15.667576,11,1.459458
21.17469,9,1.464273
20.724274,9,1.469651
20.469133,11,1.475708
18.827792,10,1.480867
19.840456,11,1.486773
14.830018,11,1.493163
18.627088,15,1.501158
17.058554,6,1.504399
19.26221,8,1.508715
18.380176,7,1.513152
18.434688,6,1.516332
20.299642,12,1.522663
21.348478,25,1.535761
20.212098,8,1.540595
21.428685,19,1.550211
13.819633,7,1.554161
23.797918,16,1.562538
18.968004,10,1.568561
23.919709,10,1.573815
17.055322,7,1.577707
15.524519,8,1.581993
18.630856,12,1.58895
16.304434,11,1.594873
24.4068,18,1.604037
23.729609,11,1.609898
22.221225,9,1.615174
12.303777,13,1.621899
18.329823,7,1.625802
18.135233,11,1.631644
17.623741,8,1.636473
19.76645,15,1.644341
17.345684,11,1.649932
15.115505,13,1.656924
18.514746,9,1.662247
17.877775,13,1.66902
21.017814,11,1.674994
15.945589,11,1.680876
18.451496,17,1.690141
17.485171,5,1.692896
20.579245,8,1.697249
21.615666,18,1.70673
20.31717,7,1.710864
22.021768,10,1.716369
21.783238,8,1.720731
23.372602,16,1.729067
39.968744,34,1.746891
19.628154,13,1.753905
18.019257,6,1.75711
19.290729,13,1.763974
21.180749,18,1.774006
22.430542,14,1.781183
20.84698,9,1.786245
20.485746,12,1.792608
23.329559,18,1.802329
20.181365,13,1.809046
19.94123,9,1.814088
22.072554,21,1.824883
19.660886,12,1.831672
18.531181,7,1.835593
33.555099,38,1.855192
19.713911,16,1.863566
26.153852,21,1.875129
17.612687,12,1.88158
20.65138,17,1.890782
24.151748,15,1.898508
32.279535,26,1.91265
19.06175,17,1.921305
16.70723,7,1.925159
17.597635,11,1.931077
18.688682,10,1.936757
24.00407,16,1.945178
13.525285,9,1.949875
17.696908,6,1.953296
18.465666,12,1.960214
20.502701,14,1.967513
20.099494,10,1.972977
18.794006,12,1.979455
22.932788,11,1.986113
15.120027,18,1.995357
16.503437,11,2.001318
18.975611,7,2.005237
22.526529,13,2.012577
18.5147,10,2.017757
28.20672,21,2.028982
17.400239,10,2.034089
23.718498,15,2.0426
16.274652,7,2.046524
17.841078,9,2.051296
18.200948,7,2.055149
23.347686,13,2.062543
17.335174,8,2.066948
20.111804,13,2.073781
19.114277,15,2.081802
17.588144,12,2.088504
21.324682,12,2.094827
15.789049,5,2.097566
19.427379,10,2.103177
36.570461,41,2.124591
15.105489,20,2.134914
21.195828,8,2.139243
23.607632,14,2.146478
24.088865,18,2.156635
17.405078,6,2.159864
