#{"t_start": 1668756672.293733, "env_id": "HopperBulletEnv-v0"}
r,l,t
21.806547,11,0.853502
17.164664,7,0.857172
21.413753,9,0.861783
21.164382,15,0.869691
15.122579,8,0.874537
18.782678,6,0.877508
20.946238,21,0.88843
16.52823,9,0.892975
19.990326,9,0.898449
22.698502,29,0.913061
20.14315,10,0.918425
21.177679,17,0.926827
19.940372,14,0.934939
18.578522,8,0.939078
18.627118,7,0.942837
18.121574,6,0.94603
20.668755,13,0.953353
16.581825,17,0.961996
21.495514,10,0.967723
15.762175,7,0.97143
29.092642,17,0.980863
19.146159,10,0.985983
20.393804,9,0.990594
20.916397,7,0.994228
19.658115,11,1.000667
21.27562,15,1.008442
21.028488,15,1.016757
19.178545,30,1.032183
21.728445,14,1.039926
23.523223,16,1.048346
30.973599,23,1.059496
21.074308,11,1.065551
19.829651,13,1.072511
20.234582,10,1.077772
20.227056,10,1.083414
19.48499,16,1.091403
18.828123,11,1.097846
23.31153,10,1.103393
20.203965,12,1.109317
22.235579,15,1.117233
25.710447,16,1.125797
18.949988,14,1.133276
18.857186,7,1.137049
18.493452,14,1.143903
24.664245,23,1.156168
18.781571,13,1.162887
13.869046,12,1.169049
18.360134,7,1.172796
14.862061,7,1.177059
26.382507,18,1.186434
17.032249,16,1.194537
17.015078,8,1.199095
16.52555,16,1.20764
17.500096,7,1.211352
17.660953,13,1.218367
24.047072,20,1.228264
22.720631,16,1.237268
17.853907,15,1.244708
18.489345,9,1.249678
17.310906,8,1.253819
20.730967,9,1.259033
19.793267,7,1.262724
15.435779,7,1.266825
16.736931,11,1.272577
19.850318,13,1.279587
18.921647,8,1.284157
26.117788,29,1.299351
25.049915,20,1.309055
16.994918,9,1.31438
21.823055,17,1.323559
19.140379,7,1.327013
20.554217,10,1.332537
21.412768,10,1.338025
12.777074,13,1.344534
19.008715,10,1.349661
26.532448,17,1.357974
22.35446,11,1.36402
17.39961,6,1.367194
17.84622,10,1.372215
22.777211,24,1.383999
21.059362,7,1.388216
20.797638,11,1.394049
19.530244,10,1.398951
24.646518,13,1.405293
17.075434,7,1.409469
20.798341,11,1.415241
21.661981,15,1.422646
19.892567,11,1.427975
20.559892,11,1.433951
20.985837,7,1.437564
16.538773,11,1.443176
15.212683,10,1.448132
19.058062,11,1.454002
20.25589,11,1.459702
22.242349,10,1.464694
19.325119,7,1.468335
24.449976,17,1.477359
20.302499,9,1.481878
17.769225,6,1.485111
14.889345,5,1.487584
27.46949,24,1.499892
22.287688,12,1.506084
20.118979,8,1.51017
19.233831,13,1.516443
20.373882,9,1.521744
23.561729,12,1.527641
14.282179,7,1.531272
20.365249,8,1.535559
18.700458,10,1.541008
19.301734,8,1.545133
15.260631,11,1.550792
25.19475,15,1.558092
21.767168,10,1.563895
22.798445,13,1.570258
18.831487,8,1.574426
18.463556,9,1.578977
23.414046,16,1.587345
17.464731,6,1.590557
18.489989,11,1.596137
20.91802,9,1.600662
19.566228,13,1.607658
17.717889,8,1.611769
25.740435,12,1.617939
21.942883,14,1.624917
22.438532,19,1.634778
20.03101,16,1.642735
24.897079,14,1.64983
16.382457,6,1.652711
20.437191,12,1.659458
20.6826,11,1.664953
21.690771,20,1.674992
19.572214,12,1.680841
27.161503,17,1.689819
18.163892,9,1.694687
18.438909,11,1.700011
20.647819,10,1.705054
26.415107,20,1.715541
27.864527,22,1.726127
20.808826,8,1.730188
14.291611,12,1.736223
22.832992,11,1.742121
19.04551,8,1.746245
21.638993,12,1.752367
20.470699,18,1.761148
19.797315,7,1.765323
22.194413,11,1.770756
19.30144,7,1.774427
21.786972,19,1.783962
20.855519,8,1.788603
14.447889,17,1.79695
18.896972,8,1.801068
16.590655,14,1.807673
18.003444,7,1.811876
18.872658,13,1.818443
17.069311,6,1.821645
16.196928,9,1.826095
21.996511,13,1.832948
18.699387,13,1.839519
17.523176,10,1.844481
29.995598,27,1.857736
34.987568,28,1.87194
19.355295,9,1.876466
19.858381,18,1.88548
20.009145,15,1.892739
20.186688,18,1.902314
20.497537,11,1.907699
17.322879,6,1.91093
19.274693,13,1.917128
15.697866,9,1.92233
20.057064,18,1.931193
16.601733,6,1.934373
18.674167,11,1.939672
23.279103,10,1.945174
19.77997,7,1.948835
20.469171,15,1.956268
19.914741,7,1.959918
19.175144,13,1.966795
16.793002,9,1.971618
20.810107,14,1.978348
19.930576,8,1.982369
19.474637,6,1.986128
27.56673,21,1.996423
28.348224,28,2.009805
