#{"t_start": 1668314670.8429644, "env_id": "HopperBulletEnv-v0"}
r,l,t
17.377606,12,0.894267
18.022854,10,0.898948
18.002198,14,0.90527
21.564985,12,0.910755
17.478648,17,0.919465
21.065276,14,0.925815
22.099272,16,0.932984
23.032472,11,0.938108
17.482104,11,0.943729
21.859784,14,0.950557
16.922323,9,0.954807
18.473371,8,0.958628
20.779233,16,0.966429
19.586599,8,0.970297
18.471888,6,0.973171
21.120383,10,0.977832
21.8388,10,0.983335
17.617345,6,0.986247
19.264913,13,0.992187
18.075091,6,0.995112
17.803396,7,0.998987
14.03841,17,1.006616
21.936438,11,1.012047
19.096553,9,1.016259
23.369352,14,1.023132
21.154504,7,1.026442
17.447344,6,1.029275
29.713077,17,1.036889
19.864106,13,1.043689
26.92407,16,1.050985
19.03224,9,1.055194
18.600423,7,1.058502
22.862679,10,1.063667
24.289808,14,1.070068
21.123794,15,1.077244
18.106307,6,1.080118
20.042962,7,1.083896
21.353274,15,1.090639
19.236578,7,1.093933
15.968646,5,1.096363
18.59063,9,1.101021
15.63044,8,1.105088
22.316136,10,1.109738
19.153412,11,1.11481
16.876176,9,1.119385
22.180703,14,1.125741
22.997381,10,1.130355
17.823088,13,1.136432
18.986328,10,1.141403
14.622101,10,1.145933
22.265623,21,1.155391
19.314481,25,1.166842
20.208055,13,1.173489
17.895651,14,1.179728
20.89408,18,1.187737
21.3639,10,1.192427
16.541468,6,1.196047
14.39916,10,1.20067
18.368767,7,1.203993
17.73689,7,1.207317
15.959846,9,1.212047
16.71258,7,1.215285
23.200135,14,1.221598
15.243483,13,1.227768
22.860142,13,1.234196
21.256437,30,1.247767
16.765975,8,1.2514
23.4241,11,1.256635
20.412987,11,1.26206
18.65521,9,1.266198
23.129928,16,1.2736
18.645791,12,1.278996
17.699654,9,1.28372
21.952247,8,1.287798
19.522901,13,1.293653
17.56704,7,1.296928
19.783673,12,1.302977
19.730564,12,1.308445
19.408184,14,1.315026
17.422017,13,1.32092
20.21791,15,1.328168
23.427435,11,1.333299
17.913813,8,1.337043
19.458323,8,1.340793
19.068354,8,1.34533
20.667164,8,1.349116
22.907688,19,1.357788
17.809012,7,1.361078
23.174146,14,1.368073
23.362529,18,1.376694
21.42051,9,1.380841
21.582158,9,1.385013
23.792959,15,1.392212
19.149496,8,1.395871
17.686461,13,1.401861
20.099418,9,1.406358
20.036867,8,1.410631
20.060691,8,1.414347
18.083851,11,1.419349
16.30206,12,1.424724
18.650407,12,1.430634
15.163502,9,1.434791
16.776533,6,1.437965
17.625474,8,1.441826
17.201586,9,1.446446
18.143075,11,1.451376
18.593446,10,1.455992
19.540859,11,1.460922
22.472093,15,1.468553
17.920463,13,1.474455
24.057309,13,1.480157
21.648616,7,1.483481
21.969611,13,1.489882
19.30062,7,1.493137
25.232431,14,1.499759
23.219316,14,1.506058
25.373592,15,1.513286
22.37749,12,1.518813
19.039247,11,1.523789
19.074553,8,1.527804
21.358465,11,1.533361
20.277388,12,1.538847
20.849593,10,1.543464
18.348113,12,1.54887
15.906813,8,1.5531
21.250873,13,1.559364
22.635641,13,1.565305
17.464081,10,1.569937
21.867889,19,1.579015
14.022686,11,1.583878
19.233309,9,1.588244
21.582517,19,1.596696
19.014332,13,1.603168
19.48996,7,1.60644
21.141374,22,1.616079
16.730748,8,1.620048
27.376973,35,1.63584
21.800551,16,1.642899
17.769307,12,1.648559
23.017,14,1.654796
