#{"t_start": 1668276630.9618998, "env_id": "AntBulletEnv-v0"}
r,l,t
496.372113,1000,1.647666
534.540552,1000,2.37418
504.331984,1000,3.124837
505.882172,1000,3.864475
485.454125,1000,4.606103
477.744041,1000,5.329189
512.582692,1000,6.041928
508.968229,1000,6.757365
490.128203,1000,7.491028
495.818855,1000,8.208272
9.04839,21,8.553799
8.792053,21,8.576869
9.419508,21,8.600595
9.709066,21,8.623589
8.820141,22,8.649915
45.444507,87,8.8378
258.127618,496,9.682112
453.758812,1000,11.302366
397.451662,1000,12.919556
344.989811,1000,14.48402
382.889156,1000,16.143037
305.223388,779,17.388447
149.30403,542,18.31298
198.766001,510,19.144328
109.442382,512,20.012302
5.168283,20,20.034223
4.973928,20,20.056065
5.203142,20,20.077915
5.499946,20,20.100614
5.00604,20,20.122494
5.343225,20,20.147301
1.312955,20,20.238999
1.645488,20,20.26275
1.337939,20,20.285656
1.941512,20,20.316952
0.968512,20,20.342018
1.862187,20,20.365726
9.915203,31,20.469235
282.432434,1000,22.090638
381.432045,1000,23.721228
304.570769,937,25.327422
44.357993,253,25.741612
3.758225,20,25.763853
5.483549,20,25.786015
4.339355,20,25.809083
4.621525,20,25.831281
4.740298,20,25.85522
3.950779,20,25.947153
14.459251,66,26.036682
19.427568,105,26.223834
432.659779,1000,27.846669
-13.9714,254,28.258129
7.624059,55,28.323917
1.994395,22,28.349628
2.089816,22,28.375562
410.099056,1000,30.017669
333.994263,922,31.509827
108.657123,405,32.212361
303.295407,1000,36.675048
397.684789,1000,38.315529
8.952711,37,38.42247
2.5508,20,38.446939
3.373332,20,38.470002
2.615759,20,38.493101
2.525636,20,38.517086
3.7734,20,38.54089
2.22964,20,38.566807
297.553755,1000,40.202385
327.521997,1000,41.830528
300.370983,707,42.986955
33.0539,87,43.08461
9.633823,22,43.108604
5.818349,20,43.195673
4.8602,20,43.218594
4.979235,20,43.24895
4.972297,20,43.272188
4.752419,20,43.296265
4.783701,20,43.323341
3.855556,22,43.424994
54.467755,360,43.97901
425.899676,1000,45.627505
370.820848,1000,47.268391
199.686461,568,48.155835
125.677177,284,48.663503
2.966923,20,48.686531
2.560697,20,48.708735
2.102471,20,48.73475
2.648699,20,48.759984
3.311777,20,48.788404
215.660857,784,50.13948
2.914593,20,50.161692
2.861528,20,50.183779
3.521041,20,50.206909
3.007322,20,50.229026
3.309729,20,50.253459
2.834845,20,50.341638
385.716819,1000,51.946681
135.335564,352,52.531515
9.73562,28,52.562881
217.487519,802,53.925839
5.675798,20,53.948821
5.694559,20,53.970819
5.729076,20,53.995757
5.851816,20,54.018756
5.717644,20,54.046608
5.704258,20,54.136289
12.03215,60,54.212742
23.429329,93,54.38812
31.387109,110,54.592155
0.315605,39,54.651533
-4.419252,27,54.683808
-4.446222,27,54.714973
-2.931761,27,54.746888
478.283972,1000,56.414046
2.719828,20,56.435978
249.234213,563,57.376353
425.582368,1000,59.034648
382.704068,1000,60.610818
4.401678,23,60.697401
1.038807,23,60.723294
2.935547,23,60.749983
4.145613,23,60.775909
3.502004,22,60.802338
13.595073,41,60.917855
78.084746,362,61.559716
329.906986,696,62.657212
4.037993,21,62.680599
2.352178,22,62.705058
2.317734,22,62.730592
3.251868,20,62.817404
4.152634,20,62.846031
3.873065,20,62.868862
3.853619,20,62.892411
4.147088,20,62.915275
4.228832,20,62.941978
3.247918,20,63.027624
1.360147,20,63.051106
0.364566,21,63.081912
1.083906,20,63.107051
2.590416,24,63.134473
0.399834,20,63.164844
-0.23465,20,63.253966
17.972554,128,63.484506
1.324651,20,63.50747
0.240534,20,63.531258
1.862786,20,63.553882
1.712989,20,63.578644
1.862436,20,63.602071
1.754007,20,63.626482
149.841317,455,64.427776
125.502226,460,65.182753
3.875067,20,65.204605
5.263587,20,65.227325
5.162915,20,65.249134
5.368831,20,65.274083
5.080857,20,65.299455
66.810709,195,65.676888
30.804781,82,65.829493
4.39393,20,65.851206
3.593275,20,65.872933
3.94575,20,65.89535
4.358533,20,65.916992
4.075307,20,65.940637
4.153294,20,66.030218
384.826757,1000,67.607768
3.685953,20,67.629545
86.353952,263,68.106251
2.501756,20,68.128111
3.608744,21,68.151933
2.845884,20,68.173763
2.311224,20,68.197757
1.826763,20,68.220554
3.622916,20,68.24825
96.172745,154,68.580215
2.589925,20,68.602704
2.882127,20,68.625148
2.798504,20,68.648253
2.979659,20,68.669966
3.099273,20,68.694824
142.9724,306,69.245909
2.934041,20,69.268672
3.939258,20,69.290404
3.869878,20,69.315548
3.705565,20,69.338243
422.228413,1000,70.982804
79.003009,221,71.349359
-1.134028,20,71.371215
-0.715929,20,71.393032
-0.766667,20,71.415603
347.170234,1000,73.043988
3.113756,20,73.065833
220.209253,421,73.774187
5.958812,20,73.796749
5.064507,20,73.81849
4.702377,20,73.842325
4.93839,20,73.864866
5.191661,21,73.957285
329.131948,1000,75.554289
6.262629,20,75.634393
3.960037,20,75.656207
4.80577,20,75.678798
4.167213,20,75.70075
4.044199,20,75.724984
3.9474,20,75.747612
4.638726,20,75.775091
58.230966,142,76.088901
240.182994,631,77.151034
307.609943,1000,78.798396
372.671387,1000,80.42555
1.876995,20,80.447555
1.475259,20,80.469402
75.018113,141,80.74472
1.313934,20,80.767353
1.869221,20,80.789018
2.214546,20,80.812938
1.769564,20,80.835775
1.833626,20,80.859545
1.766294,20,80.883108
523.943447,1000,82.51612
73.36129,166,82.819659
35.793805,91,82.927142
2.700018,21,82.957379
1.962009,20,83.048222
1.860212,20,83.07338
2.423706,20,83.096652
2.369273,20,83.11913
1.335369,20,83.142916
2.206435,20,83.16563
0.736484,20,83.257286
332.169938,1000,84.829545
406.027501,1000,86.424319
74.766181,177,86.740463
96.498744,255,87.173116
46.272873,109,87.295912
72.966935,149,87.58143
0.26267,36,87.6215
2.314347,33,87.659075
1.883,33,87.697918
1.19475,35,87.805476
3.764957,20,87.8331
4.197956,20,87.864389
3.646448,20,87.888196
4.375365,20,87.912107
3.84684,21,87.935633
65.369196,171,88.276347
0.932367,20,88.298806
0.309632,20,88.321268
-0.358422,20,88.34385
0.89758,20,88.366709
-0.31086,20,88.45363
456.429136,1000,90.014668
492.38849,1000,91.614613
335.55544,1000,93.27195
373.250536,1000,94.895373
6.807569,27,94.925571
2.663388,35,94.964961
-1.018236,43,95.080441
386.951361,1000,96.655332
553.462307,1000,98.271456
404.050935,1000,99.895432
402.442727,1000,101.553686
373.628474,1000,103.189907
371.16007,1000,104.757466
97.794037,383,105.373519
387.392244,1000,107.01394
509.939206,1000,108.635154
22.831949,100,108.808604
4.864198,44,108.858805
22.139575,100,109.044976
185.883092,435,109.736217
412.17742,1000,111.362377
353.679916,1000,112.984599
435.96182,1000,114.639206
367.887798,1000,116.264131
83.530049,117,116.456769
334.726985,1000,122.633171
446.914279,1000,124.312791
417.081238,1000,125.962941
570.960603,1000,127.577558
484.77086,1000,129.197972
461.141318,1000,130.774648
499.797549,1000,132.397965
68.896206,126,132.600185
451.706068,1000,134.215024
114.55669,132,134.437159
452.558821,1000,136.058343
555.002581,1000,137.670913
454.626786,1000,139.282416
367.337882,1000,140.864436
103.349718,268,141.288622
309.760411,1000,142.911287
487.065614,1000,144.529476
448.925342,1000,146.1738
500.050836,1000,147.786921
377.203062,1000,149.345685
475.51208,1000,150.967596
32.01634,171,151.302486
127.156976,171,151.556406
432.074597,1000,153.16502
497.179688,1000,154.774931
653.518782,1000,156.325839
520.675898,1000,157.914784
648.875515,1000,159.519855
641.117369,1000,161.110607
