#{"t_start": 1670321196.443147, "env_id": "HopperBulletEnv-v0"}
r,l,t
23.323596,9,0.858217
22.030293,18,0.866915
25.551316,14,0.873637
17.35249,22,0.884096
18.145047,19,0.893909
21.685941,15,0.90111
20.390967,8,0.904863
28.348347,16,0.912699
20.737863,13,0.919523
21.120436,11,0.924879
18.498256,9,0.92923
30.805557,23,0.940129
21.486964,11,0.945923
21.888602,12,0.951772
18.231834,14,0.958491
17.611827,11,0.963864
16.998375,6,0.967267
18.677023,7,0.970582
18.186683,9,0.975077
20.767556,7,0.978594
16.171148,7,0.982825
22.220798,8,0.986686
23.522095,14,0.99343
19.759404,10,0.998495
33.523501,24,1.010346
19.366483,9,1.014979
19.968651,11,1.02031
16.294095,8,1.024074
26.573902,16,1.032365
21.054661,16,1.039865
19.681305,11,1.045472
24.29113,16,1.053079
19.941003,10,1.058224
19.857744,10,1.063268
21.410898,19,1.072226
18.665335,8,1.076345
18.894136,7,1.08049
17.691731,13,1.086815
22.629118,11,1.092256
18.099088,7,1.095719
20.975755,8,1.100283
26.834887,36,1.117415
17.969797,8,1.121165
15.745042,10,1.125954
20.310306,10,1.131582
19.049937,6,1.134471
16.343484,13,1.140588
18.562275,7,1.143912
17.757817,12,1.15033
21.884106,12,1.156076
19.182031,8,1.159847
19.849572,12,1.165651
28.266654,25,1.177754
24.536331,15,1.184913
24.562328,15,1.191867
18.142705,7,1.195731
20.403049,9,1.200401
19.82183,14,1.207097
18.209042,6,1.210258
21.45941,10,1.215016
22.878536,13,1.221804
19.56107,8,1.225837
20.076104,9,1.230103
17.412681,8,1.234147
20.543994,9,1.238949
21.485758,16,1.246598
20.933158,15,1.253847
18.816556,7,1.257462
17.571268,11,1.263219
19.720644,10,1.268203
34.70024,28,1.281665
22.621271,9,1.28595
18.21118,7,1.290171
22.93209,23,1.300938
18.719758,10,1.305911
17.774722,14,1.312547
21.450486,13,1.318998
18.868059,6,1.322206
16.17588,5,1.324642
19.377197,8,1.328707
21.577234,13,1.335095
12.658736,8,1.339126
22.2876,13,1.345389
19.383934,16,1.352886
18.06695,12,1.358848
24.257669,12,1.36458
22.73211,10,1.369402
19.476349,7,1.372714
26.563017,23,1.3838
20.428246,10,1.388456
19.855472,11,1.393811
18.254564,8,1.397501
21.137305,13,1.404191
23.478587,17,1.412159
20.974078,15,1.419103
20.93147,14,1.425627
20.758279,10,1.431128
19.582194,15,1.438181
16.920007,7,1.441395
24.01715,20,1.450435
20.282912,14,1.457642
18.793263,7,1.461205
19.039693,11,1.46611
28.887115,19,1.475108
20.782128,9,1.479867
18.397085,15,1.486994
20.707725,20,1.496047
17.362687,10,1.500833
19.298761,12,1.507123
17.392148,9,1.511235
27.511373,17,1.518895
19.57717,11,1.524174
16.792454,10,1.529598
17.222973,7,1.532827
17.709468,6,1.535729
16.492766,6,1.538866
16.387481,6,1.542325
17.792939,7,1.545828
24.749574,14,1.552373
20.421407,10,1.55686
20.514157,12,1.563229
23.039065,13,1.569338
17.658348,7,1.572567
16.774135,6,1.575708
21.230567,11,1.581333
22.504106,12,1.58697
16.935312,6,1.589822
17.345545,9,1.594131
20.774943,7,1.598032
15.977312,10,1.602827
22.973484,20,1.611842
20.825605,11,1.617022
19.697067,10,1.622505
20.281929,9,1.626662
15.679119,8,1.630575
16.962237,5,1.632972
21.602568,9,1.637779
17.380905,8,1.64172
23.741308,18,1.649961
19.013148,10,1.654808
16.409402,8,1.659045
22.877981,14,1.665744
21.588457,13,1.671827
23.244761,14,1.678416
22.164029,15,1.685951
19.565721,13,1.692052
19.887785,11,1.696982
17.279406,14,1.70343
17.233061,6,1.706881
22.166217,15,1.713795
22.165027,12,1.719369
23.065635,12,1.724993
19.013464,14,1.732042
23.366781,14,1.738525
17.077378,14,1.744959
19.521227,9,1.749056
18.056101,9,1.754005
18.660262,11,1.758959
17.351682,13,1.764941
19.208392,7,1.768452
20.03867,13,1.774792
18.742623,10,1.779635
19.320643,11,1.784796
17.543891,8,1.788434
19.946248,10,1.793902
24.38132,14,1.800516
16.501718,7,1.803739
18.106099,6,1.806816
20.919038,12,1.812801
22.847549,13,1.818883
24.141932,14,1.825518
19.259825,10,1.830309
16.84204,10,1.835429
18.152096,8,1.83941
20.179248,10,1.843826
22.896227,31,1.857944
18.608235,8,1.862551
19.388449,6,1.86541
18.66552,11,1.870662
21.135981,11,1.875859
13.615242,8,1.88009
17.143059,7,1.883394
21.097902,10,1.888253
19.279786,8,1.892282
26.244768,16,1.900265
16.449682,12,1.905813
22.789393,20,1.915339
20.237603,15,1.922286
17.976781,9,1.926964
18.825002,12,1.932646
18.759661,7,1.935934
23.569589,12,1.941688
20.2855,7,1.945576
23.000181,18,1.953967
27.823741,16,1.96138
20.749656,10,1.965915
18.607618,8,1.970474
20.349827,15,1.977387
36.252814,29,1.990506
25.963574,19,1.999403
28.972063,27,2.011903
18.338072,16,2.019243
18.882461,7,2.022779
20.106673,8,2.026399
19.103671,18,2.035331
18.076309,12,2.040886
18.877814,8,2.044883
14.817606,7,2.048083
19.720204,10,2.053429
24.305412,14,2.059946
20.098056,9,2.064103
17.939216,6,2.067213
21.049869,10,2.072357
19.434391,7,2.075929
20.528272,7,2.079176
9.524904,19,2.087695
18.741659,9,2.092731
20.466171,14,2.099241
22.852126,10,2.103761
18.620175,15,2.11062
22.121704,16,2.118678
20.766752,15,2.12571
22.727471,14,2.132238
24.31978,14,2.138863
18.237561,11,2.144691
21.055738,7,2.147996
15.856616,7,2.151232
17.537249,14,2.157711
31.571159,23,2.169208
20.599749,9,2.173304
20.99734,12,2.178947
28.969997,27,2.191181
20.118109,11,2.196728
17.27056,7,2.200269
16.864228,9,2.204319
23.984801,21,2.21401
20.653944,9,2.218633
21.256083,10,2.223366
17.540489,8,2.227023
21.59377,13,2.233116
18.014749,9,2.238009
17.174487,15,2.244852
22.209171,11,2.249831
15.323516,7,2.253342
19.62913,15,2.260819
23.189498,13,2.266812
20.430226,9,2.270894
17.554662,8,2.274844
22.054009,10,2.280044
20.311121,9,2.284403
17.616114,14,2.290853
18.27026,11,2.295653
21.435031,13,2.302253
19.352323,7,2.305737
18.67725,10,2.310182
18.526969,10,2.314954
21.96465,17,2.323327
18.946329,20,2.332299
22.809784,15,2.339046
21.686446,24,2.349965
