#{"t_start": 1670321374.5796542, "env_id": "HopperBulletEnv-v0"}
r,l,t
18.088446,6,0.834532
15.860519,13,0.84074
21.768886,13,0.846705
18.74665,8,0.850893
22.597362,15,0.858713
15.066592,10,0.863575
21.536849,15,0.870424
20.646143,9,0.874942
20.79415,16,0.882927
15.87839,6,0.88597
16.624102,7,0.889638
21.181133,10,0.894244
23.122281,28,0.907895
20.386225,14,0.914533
17.657677,12,0.920405
22.091143,13,0.926617
22.418412,18,0.935645
14.02847,15,0.942749
19.53496,7,0.946128
22.288067,8,0.950333
24.584717,26,0.962621
19.179931,18,0.971165
19.133554,9,0.97558
17.905857,10,0.980366
14.615603,12,0.98643
16.493605,7,0.990181
19.206772,10,0.994842
21.656324,15,1.002362
15.674419,12,1.008809
16.421535,15,1.015897
23.542721,15,1.023191
21.326814,7,1.026549
16.671046,7,1.030701
19.309809,7,1.03414
16.132274,7,1.03783
21.283386,10,1.042472
17.523304,6,1.04622
22.53097,13,1.052748
22.880296,14,1.059092
19.774118,11,1.064498
20.030047,9,1.069762
23.299603,14,1.076561
22.225029,14,1.082899
17.691375,14,1.089629
25.972022,13,1.096377
20.888204,12,1.102334
14.426228,12,1.108049
18.466822,10,1.112616
18.465619,16,1.12066
22.967449,14,1.127301
18.966787,11,1.132776
18.573824,11,1.137984
17.400317,11,1.143829
19.027136,9,1.148432
21.5492,21,1.158246
18.654765,7,1.161621
25.805677,12,1.167975
19.290102,8,1.172057
28.290948,21,1.181956
19.318189,8,1.186198
20.449056,12,1.192118
17.852633,14,1.198631
22.612101,13,1.205037
22.165633,18,1.213325
17.511851,10,1.218781
17.867954,8,1.222512
19.529595,15,1.229554
21.298378,11,1.235082
19.913249,21,1.245212
19.749051,8,1.24923
22.032891,10,1.254004
18.411177,8,1.25801
28.263102,22,1.26876
21.04396,14,1.275539
20.380926,14,1.282146
21.554343,15,1.289358
21.251448,10,1.294594
19.553294,6,1.297792
18.354238,7,1.301247
23.18772,15,1.30839
23.270824,17,1.316897
26.596039,19,1.325734
17.138998,10,1.330673
19.483501,12,1.336381
18.578703,17,1.344729
22.093893,13,1.350802
27.425505,22,1.36056
20.226334,15,1.367481
21.240945,9,1.372496
19.422514,17,1.380135
20.406458,18,1.38836
17.043135,9,1.392352
19.185761,11,1.398069
20.468977,7,1.401302
21.2904,11,1.406543
20.263151,8,1.41048
19.281141,11,1.415889
22.153573,12,1.421594
21.917608,16,1.429125
20.902992,16,1.436533
18.238045,9,1.441484
38.020916,31,1.455715
13.625914,11,1.460683
19.629981,15,1.467674
15.124115,7,1.471775
24.157476,19,1.480449
25.193071,13,1.486662
19.261706,10,1.491289
23.953433,18,1.500212
21.141755,8,1.504166
32.176097,38,1.52124
21.996277,10,1.526032
16.721163,7,1.529947
19.912181,20,1.539339
19.767859,9,1.543429
20.570711,14,1.549994
22.405333,12,1.556389
17.201384,12,1.562052
22.209262,18,1.570124
16.189498,6,1.572918
22.136838,11,1.57882
17.12747,6,1.581624
19.42313,8,1.585624
18.048903,11,1.59058
21.102032,11,1.596358
18.019468,8,1.600018
18.385815,8,1.604021
15.290095,15,1.61083
12.887698,10,1.616166
18.155694,9,1.620291
21.438406,11,1.625644
24.28547,10,1.630137
19.319866,15,1.637725
17.474351,6,1.640857
16.056891,7,1.644077
17.446028,13,1.650187
21.750022,18,1.658995
24.200887,12,1.664598
20.134004,12,1.670219
20.71589,9,1.674229
19.573401,10,1.679615
15.033934,13,1.685747
18.181664,9,1.68985
20.667972,16,1.697174
21.709695,22,1.70806
17.474287,5,1.71048
19.263513,9,1.714625
16.94868,10,1.719414
22.345056,10,1.72481
19.147722,7,1.728033
22.018008,10,1.732867
22.396568,13,1.739003
20.542112,15,1.746309
13.938683,10,1.751037
17.398053,9,1.755422
15.828304,12,1.760811
20.392147,13,1.767572
16.05797,7,1.771054
17.105871,12,1.7765
19.021572,13,1.78258
21.802284,12,1.789029
20.035385,15,1.79593
18.869233,7,1.799121
17.517595,13,1.80511
20.399687,14,1.812279
25.384511,24,1.823375
21.824882,16,1.830683
23.496351,16,1.838165
18.711974,8,1.842424
16.252325,13,1.848423
20.76207,8,1.852124
16.705542,16,1.859306
18.83235,7,1.863369
24.011369,16,1.870648
22.185689,11,1.875576
20.850964,9,1.879884
20.524847,10,1.8853
19.180152,12,1.890712
23.5936,13,1.896748
16.828527,11,1.90186
15.800617,6,1.90529
17.548297,6,1.908356
15.347475,7,1.911515
22.261062,17,1.919209
21.04698,12,1.925611
17.671098,6,1.928412
29.263628,18,1.936636
19.423902,13,1.942619
19.116078,8,1.947272
21.706214,10,1.951788
18.832216,7,1.955367
