#{"t_start": 1671072428.8256123, "env_id": "HopperBulletEnv-v0"}
r,l,t
18.914356,7,0.81691
15.472782,5,0.819647
30.164012,24,0.832632
24.274886,11,0.838841
22.418072,14,0.847368
16.123081,17,0.856672
17.842715,8,0.86112
26.123452,18,0.8706
27.115403,30,0.887273
19.106807,14,0.894882
19.879964,12,0.901359
19.009888,9,0.906667
22.403034,11,0.91281
19.304598,19,0.92322
21.518129,12,0.929692
15.766822,8,0.93406
18.222657,9,0.939532
21.01654,14,0.947222
20.459654,12,0.953708
20.85608,20,0.964922
22.020814,9,0.970295
26.711148,19,0.980991
23.771839,18,0.990552
20.822088,12,0.997027
16.29913,15,1.006168
11.36984,10,1.01162
16.022511,12,1.017927
21.36921,8,1.022407
18.950688,9,1.027732
20.53169,10,1.033025
24.115811,14,1.040867
20.362914,9,1.045713
21.786672,15,1.054629
19.979022,8,1.059116
17.473363,7,1.063132
21.690213,12,1.069611
10.679415,22,1.081747
20.244264,10,1.087378
15.975993,7,1.091226
21.097214,11,1.097271
18.729758,11,1.103728
19.586807,11,1.109854
22.560423,16,1.118473
16.594168,15,1.126349
20.237454,7,1.130843
24.648848,11,1.136955
21.965515,12,1.143642
19.901171,6,1.146906
25.187909,19,1.157786
19.974316,7,1.161688
18.678836,8,1.165949
20.438588,15,1.174214
20.336272,13,1.181525
18.78776,6,1.184689
19.290706,6,1.188434
18.505742,8,1.192847
22.851945,13,1.200179
20.380626,14,1.208131
19.855179,6,1.211384
15.464881,12,1.217693
20.211416,10,1.224027
25.054136,24,1.236743
21.3688,13,1.244025
20.852422,8,1.248325
15.787714,10,1.25413
16.926336,16,1.26294
23.205081,18,1.272787
30.612559,18,1.282186
20.943547,15,1.291044
19.444782,8,1.295487
21.252718,9,1.300315
18.168765,15,1.308397
24.130352,15,1.316861
20.183025,10,1.322132
15.631129,7,1.325989
19.43976,12,1.332391
24.027664,11,1.338946
22.050762,11,1.344991
17.3421,14,1.352181
18.756034,13,1.358937
20.951135,13,1.36634
25.456042,23,1.378144
13.961412,14,1.385486
19.006027,6,1.388629
21.498423,12,1.395498
21.308278,11,1.401269
38.897393,30,1.416627
21.504654,10,1.421717
20.867731,13,1.428924
19.471713,8,1.433244
22.386545,16,1.441497
23.206178,16,1.449717
18.750595,10,1.455855
19.517022,16,1.464081
14.445423,29,1.47876
17.894178,7,1.482604
23.24871,13,1.48988
16.257563,7,1.493746
21.388718,10,1.498927
19.978529,11,1.504705
18.468097,7,1.509149
14.004457,12,1.515565
15.484426,7,1.519434
16.516956,9,1.524121
21.373139,11,1.530526
18.526297,7,1.534133
21.019781,10,1.539516
19.119288,9,1.544184
22.263069,12,1.551103
22.246288,10,1.556531
25.749813,19,1.566026
21.50188,11,1.571862
19.44412,9,1.577138
20.310463,9,1.582033
17.293947,11,1.58744
18.95437,9,1.592321
20.677821,8,1.597133
21.437848,15,1.604664
16.345541,6,1.608118
24.131939,16,1.616277
21.271519,14,1.623956
18.940418,8,1.628237
21.596729,8,1.632559
15.581762,7,1.636392
22.057301,13,1.643641
26.51477,17,1.652695
21.128436,11,1.658249
21.354793,11,1.664072
21.566678,13,1.671425
