#{"t_start": 1670494657.137232, "env_id": "HopperBulletEnv-v0"}
r,l,t
18.088446,6,0.84534
15.860519,13,0.851867
21.768886,13,0.858606
18.74665,8,0.862712
22.597362,15,0.871362
15.066592,10,0.876658
21.536849,15,0.883728
20.646143,9,0.88911
20.79415,16,0.897561
15.87839,6,0.900465
16.624102,7,0.904552
21.181133,10,0.909537
23.122281,28,0.924532
20.386225,14,0.931548
17.657677,12,0.937838
22.091143,13,0.944454
22.418412,18,0.954135
14.02847,15,0.96168
19.53496,7,0.965375
22.288067,8,0.969742
24.584717,26,0.98311
19.179931,18,0.992399
19.133554,9,0.996981
17.905857,10,1.002325
14.615603,12,1.008948
16.493605,7,1.012588
19.206772,10,1.017544
21.656324,15,1.025235
15.674419,12,1.031816
16.421535,15,1.03943
23.542721,15,1.046629
21.326814,7,1.050309
16.671046,7,1.0547
19.309809,7,1.058438
16.132274,7,1.062131
21.283386,10,1.067172
17.523304,6,1.071041
22.53097,13,1.077845
22.880296,14,1.08461
19.774118,11,1.090568
20.030047,9,1.095685
23.299603,14,1.10305
22.225029,14,1.109875
17.691375,14,1.116909
25.972022,13,1.124186
20.888204,12,1.130172
14.426228,12,1.136377
18.466822,10,1.141281
18.465619,16,1.149704
22.967449,14,1.156883
18.966787,11,1.162385
18.573824,11,1.167971
17.400317,11,1.174446
19.027136,9,1.179108
21.5492,21,1.189776
18.654765,7,1.193215
25.805677,12,1.199954
19.290102,8,1.204221
28.290948,21,1.214873
19.318189,8,1.219195
20.449056,12,1.225526
17.852633,14,1.23259
22.612101,13,1.239173
22.165633,18,1.248326
17.511851,10,1.254015
17.867954,8,1.25815
19.529595,15,1.265675
21.298378,11,1.27133
19.913249,21,1.282239
19.749051,8,1.28653
22.032891,10,1.291603
18.411177,8,1.295696
28.263102,22,1.307264
21.04396,14,1.314504
20.380926,14,1.321374
21.554343,15,1.328815
21.251448,10,1.334382
19.553294,6,1.337767
18.354238,7,1.34149
23.18772,15,1.348848
23.270824,17,1.357757
26.596039,19,1.367179
17.138998,10,1.372609
19.483501,12,1.378488
18.578703,17,1.387315
22.093893,13,1.393789
27.425505,22,1.404362
20.226334,15,1.411742
21.240945,9,1.416836
19.422514,17,1.42502
20.406458,18,1.433705
17.043135,9,1.438107
19.185761,11,1.444281
20.468977,7,1.447555
21.2904,11,1.453185
20.263151,8,1.457187
19.281141,11,1.46309
22.153573,12,1.469138
21.917608,16,1.476998
20.902992,16,1.484769
18.238045,9,1.489943
38.020916,31,1.504786
13.625914,11,1.510046
19.629981,15,1.51734
15.124115,7,1.521542
24.157476,19,1.530649
25.193071,13,1.537218
19.261706,10,1.542094
23.953433,18,1.551508
21.141755,8,1.555553
32.176097,38,1.573684
21.996277,10,1.578595
16.721163,7,1.582812
19.912181,20,1.592733
19.767859,9,1.597196
20.570711,14,1.604102
22.405333,12,1.610559
17.201384,12,1.616813
22.209262,18,1.62533
16.189498,6,1.628445
22.136838,11,1.634457
17.12747,6,1.637563
19.42313,8,1.641659
18.048903,11,1.646913
21.102032,11,1.6529
18.019468,8,1.657026
18.385815,8,1.661115
15.290095,15,1.668432
12.887698,10,1.674118
18.155694,9,1.678525
21.438406,11,1.683941
24.28547,10,1.688812
19.319866,15,1.696843
17.474351,6,1.700035
16.056891,7,1.703605
17.446028,13,1.7098
21.750022,18,1.719329
24.200887,12,1.725324
20.134004,12,1.731952
20.71589,9,1.736836
19.573401,10,1.742586
15.033934,13,1.749436
18.181664,9,1.754024
20.667972,16,1.76204
21.709695,22,1.773645
17.474287,5,1.776178
19.263513,9,1.780746
16.94868,10,1.786027
22.345056,10,1.791486
19.147722,7,1.7952
22.018008,10,1.800289
22.396568,13,1.807055
20.542112,15,1.814875
13.938683,10,1.820162
17.398053,9,1.824736
15.828304,12,1.830626
20.392147,13,1.837897
16.05797,7,1.841524
17.105871,12,1.84751
19.021572,13,1.854175
21.802284,12,1.860601
20.035385,15,1.868066
18.869233,7,1.871679
17.517595,13,1.878567
20.399687,14,1.886314
25.384511,24,1.898264
21.824882,16,1.90625
23.496351,16,1.914318
18.711974,8,1.918847
16.252325,13,1.92503
20.76207,8,1.929124
16.705542,16,1.936891
18.83235,7,1.940991
24.011369,16,1.948818
22.185689,11,1.954231
20.850964,9,1.958952
20.524847,10,1.964496
19.180152,12,1.970319
23.5936,13,1.976894
16.828527,11,1.982238
