#{"t_start": 1669893197.0958896, "env_id": "HopperBulletEnv-v0"}
r,l,t
22.126271,10,0.874634
17.685402,8,0.878904
17.816938,7,0.882566
20.725554,11,0.887967
19.216933,11,0.894174
19.523681,10,0.899428
21.478188,15,0.906635
18.222853,10,0.911995
21.482719,15,0.919885
19.439051,6,0.922866
19.703997,14,0.930149
21.763443,11,0.935568
13.910587,9,0.940929
15.26518,10,0.945961
17.625131,13,0.952248
16.669976,6,0.95544
17.159158,14,0.963067
26.912608,14,0.970129
21.168774,13,0.976551
18.40044,7,0.980241
17.644268,10,0.985602
16.90707,16,0.993604
25.251556,13,1.000222
20.523525,21,1.010776
16.919312,7,1.014902
16.088458,11,1.020192
18.557427,14,1.027347
23.388381,17,1.035821
18.613002,13,1.042745
27.252976,17,1.051281
21.542027,11,1.056709
29.451711,29,1.071174
20.059393,19,1.081096
16.847752,12,1.086885
17.161021,7,1.090528
16.216211,8,1.094799
19.593613,10,1.100574
18.008934,18,1.10968
21.749957,20,1.119502
28.291865,17,1.128229
18.845531,14,1.135578
23.757016,9,1.140072
23.917502,19,1.149788
16.960218,6,1.152687
18.655381,12,1.159406
20.985578,8,1.163538
21.899302,13,1.170057
17.190126,10,1.175148
19.259487,12,1.181578
19.692766,8,1.185659
17.039623,14,1.192816
30.904958,25,1.205082
23.511555,10,1.210846
23.693537,15,1.218271
20.504526,11,1.224008
16.848744,9,1.228705
18.046172,11,1.234603
20.411096,9,1.239102
14.617719,5,1.241991
24.695608,17,1.250217
22.202578,9,1.255204
25.580081,15,1.262699
22.162063,13,1.269221
21.840631,13,1.275641
21.872637,12,1.282194
19.746035,14,1.289251
20.908559,15,1.296772
16.084553,16,1.304737
14.791334,8,1.309548
25.335606,18,1.318772
21.088209,11,1.324163
24.618077,16,1.332355
19.612929,14,1.339873
18.149253,21,1.350192
20.631077,9,1.354972
19.087044,7,1.358345
22.017931,10,1.364112
18.328684,9,1.368648
20.869104,10,1.373672
18.447937,8,1.377759
29.407635,22,1.389164
18.007456,8,1.393251
20.554032,7,1.39691
18.277228,11,1.402339
20.489168,9,1.407258
21.502773,15,1.414605
19.159598,7,1.418099
16.023673,8,1.422051
16.452908,7,1.426121
17.662962,9,1.43057
19.313314,14,1.437409
19.416903,16,1.445033
21.903575,19,1.454639
17.097264,12,1.460589
17.930494,9,1.464878
29.8775,24,1.476413
26.263435,16,1.48463
21.867664,12,1.490308
17.806063,9,1.49475
21.510121,23,1.505857
20.540742,8,1.510501
17.398795,9,1.514988
17.28803,11,1.520505
19.015638,7,1.524113
17.936229,11,1.52991
20.733858,22,1.54052
16.643977,11,1.545789
21.062325,11,1.551083
19.449301,10,1.556771
16.27751,9,1.561194
20.361953,10,1.565995
15.50687,16,1.573582
17.120023,5,1.576827
23.018085,13,1.582923
16.325619,13,1.58929
16.820602,14,1.596047
25.683124,17,1.604805
17.763301,13,1.611036
18.112875,6,1.614246
18.973115,8,1.61829
20.988692,12,1.624845
20.953844,10,1.629901
18.524572,9,1.63428
22.826594,12,1.640326
18.872892,9,1.645332
17.581842,15,1.652627
20.366255,14,1.659315
19.002635,14,1.666309
17.033929,13,1.673353
18.010552,19,1.68237
15.019265,11,1.687579
16.046525,7,1.691111
20.83605,12,1.697722
20.651627,12,1.703538
11.572108,23,1.714555
15.256906,8,1.718495
18.487201,14,1.725836
20.398353,11,1.731133
18.630419,7,1.734746
22.015504,11,1.740289
24.18597,11,1.746268
21.362807,11,1.751551
22.803097,19,1.761106
21.187335,10,1.765949
16.636636,11,1.771787
16.591781,6,1.774914
19.09465,6,1.778106
22.192696,26,1.790613
15.996444,11,1.796394
14.951897,5,1.799072
19.382916,9,1.803573
16.526631,12,1.80951
21.070923,14,1.81665
20.518324,7,1.820223
19.558624,10,1.825399
18.3016,6,1.828214
21.893308,9,1.833149
22.822863,20,1.842823
20.869989,13,1.849324
19.209941,7,1.85257
18.604693,9,1.857843
21.224499,10,1.862725
15.703747,8,1.866698
20.519243,10,1.871673
24.533579,15,1.879497
19.510012,12,1.885221
17.558239,7,1.888783
20.700259,19,1.898057
33.817652,31,1.913577
21.130347,10,1.918475
18.828711,6,1.921603
21.260611,11,1.926906
21.55866,11,1.932781
21.390057,14,1.939575
16.008907,7,1.943114
14.296631,10,1.94791
17.644512,8,1.952423
15.378488,8,1.956492
20.567205,14,1.963361
17.620265,7,1.966914
23.423283,19,1.976491
21.747239,16,1.98414
24.681244,15,1.99132
19.243672,10,1.996115
18.960311,16,2.004304
16.809478,11,2.009823
17.017746,7,2.013369
19.310687,8,2.017402
24.852116,23,2.029012
20.556589,19,2.038512
26.46583,21,2.048343
19.955512,12,2.054269
21.821907,13,2.061315
22.278817,17,2.069504
16.438721,13,2.075562
20.705478,10,2.080752
19.032443,13,2.087423
18.376149,11,2.092871
18.273575,8,2.096938
18.150617,7,2.100301
17.509118,10,2.106069
22.424152,17,2.11423
21.572347,13,2.120474
14.900786,8,2.124437
20.413088,10,2.130059
18.802573,6,2.132894
19.138023,11,2.138406
19.274505,11,2.143671
16.500043,8,2.148171
20.784226,14,2.155074
19.898642,16,2.162881
18.850258,7,2.166394
23.334233,17,2.175136
20.377663,15,2.182595
12.622231,11,2.187912
27.045639,24,2.199408
21.585953,17,2.208132
18.335119,8,2.212144
18.264197,11,2.217783
17.103496,7,2.221339
17.174604,14,2.228346
22.77259,13,2.234731
18.014702,15,2.24195
20.395106,9,2.246323
25.642562,19,2.255973
17.600202,8,2.259956
17.793149,9,2.264328
19.119399,9,2.269081
